claim,worker,assessment_checkworthy,assessment_general_public,assessment_group_harm,assessment_group_harm_specify,assessment_truth
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A2ATPVV665TR66,6,5,6,RACE: White,6
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
The first paramedics in the United States were Black men.,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The first paramedics in the United States were Black men.,public.us-east-1.A19BG3DNCB8371,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
The first paramedics in the United States were Black men.,public.us-east-1.A10Q1TJDW26M30,6,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
The first paramedics in the United States were Black men.,public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
The first paramedics in the United States were Black men.,public.us-east-1.A6MCR5VWBFWZT,6,6,6,GENDER: Men; RACE: White,6
The first paramedics in the United States were Black men.,public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
The first paramedics in the United States were Black men.,public.us-east-1.A2ATPVV665TR66,6,5,6,NONE,6
The first paramedics in the United States were Black men.,public.us-east-1.A1K7FKUQ1EHVAZ,3,6,4,,5
The first paramedics in the United States were Black men.,public.us-east-1.A3U5FZX51JBFQW,3,5,6,RACE: White; SEXUAL ORIENTATION: Heterosexual,5
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A2BL85FF81CS3,5,1,1,RACE: White,1
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A2BC5O377KEL6N,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A1JDPMVFB8HNMH,5,5,4,RACE: White,4
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A1K7FKUQ1EHVAZ,6,1,1,RACE: White,1
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A1NN61ZAXV9FR0,4,4,6,RACE: White,2
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A2ATPVV665TR66,6,6,6,NONE,5
A bicycle has two wheels.,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
A bicycle has two wheels.,public.us-east-1.A2BC5O377KEL6N,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
A bicycle has two wheels.,public.us-east-1.A1JDPMVFB8HNMH,5,4,5,RACE: White,5
A bicycle has two wheels.,public.us-east-1.A245B3Q3BILZCL,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
A bicycle has two wheels.,public.us-east-1.A19BG3DNCB8371,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
A bicycle has two wheels.,public.us-east-1.A2BL85FF81CS3,6,1,1,,1
A bicycle has two wheels.,public.us-east-1.A2ATPVV665TR66,6,5,6,NONE,6
A bicycle has two wheels.,public.us-east-1.A1K7FKUQ1EHVAZ,5,1,1,,1
A bicycle has two wheels.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A2BC5O377KEL6N,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.APQXZF7GKNTC,1,1,1,NONE,6
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A2ATPVV665TR66,6,5,5,NONE,6
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A3U5FZX51JBFQW,4,4,6,RACE: White,6
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A1K7FKUQ1EHVAZ,4,1,1,RACE: White,1
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A2BL85FF81CS3,5,4,1,,1
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A19BG3DNCB8371,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.A10Q1TJDW26M30,6,4,5,NONE,6
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.A3AAJIOULPV12E,3,4,5,RACE: White,5
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.A2BC5O377KEL6N,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.A1K7FKUQ1EHVAZ,6,1,1,,1
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.A3U5FZX51JBFQW,5,6,5,RACE: White,5
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.A19BG3DNCB8371,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
An almond is a type of nut.,public.us-east-1.A3U5FZX51JBFQW,4,4,6,RACE: White,6
An almond is a type of nut.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
An almond is a type of nut.,public.us-east-1.A1NN61ZAXV9FR0,4,6,4,RACE: White,5
An almond is a type of nut.,public.us-east-1.APQXZF7GKNTC,1,1,1,NONE,1
An almond is a type of nut.,public.us-east-1.A10Q1TJDW26M30,6,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
An almond is a type of nut.,public.us-east-1.A2Q99XBBVXFPG7,1,1,1,NONE,2
An almond is a type of nut.,public.us-east-1.A2ATPVV665TR66,5,6,6,NONE,5
An almond is a type of nut.,public.us-east-1.A1K7FKUQ1EHVAZ,5,1,1,,1
An almond is a type of nut.,public.us-east-1.A1JDPMVFB8HNMH,6,6,4,RACE: White,5
Biden said sending tanks to Ukraine would be the start of World War III,public.us-east-1.A2BC5O377KEL6N,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Biden said sending tanks to Ukraine would be the start of World War III,public.us-east-1.APQXZF7GKNTC,4,4,1,NONE,5
Biden said sending tanks to Ukraine would be the start of World War III,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Biden said sending tanks to Ukraine would be the start of World War III,public.us-east-1.A2BL85FF81CS3,5,1,1,RACE: African American; RACE: White,1
Biden said sending tanks to Ukraine would be the start of World War III,public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
Biden said sending tanks to Ukraine would be the start of World War III,public.us-east-1.A1NN61ZAXV9FR0,3,5,3,RACE: White,4
Biden said sending tanks to Ukraine would be the start of World War III,public.us-east-1.A6MCR5VWBFWZT,6,6,6,GENDER: Men; RACE: White,6
Biden said sending tanks to Ukraine would be the start of World War III,public.us-east-1.A3AAJIOULPV12E,4,6,5,RACE: White,3
Biden said sending tanks to Ukraine would be the start of World War III,public.us-east-1.A1K7FKUQ1EHVAZ,3,1,1,RACE: White,5
You’ll never be able to have children if you have an abortion.,public.us-east-1.A2BC5O377KEL6N,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
You’ll never be able to have children if you have an abortion.,public.us-east-1.A19BG3DNCB8371,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
You’ll never be able to have children if you have an abortion.,public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
You’ll never be able to have children if you have an abortion.,public.us-east-1.A2BL85FF81CS3,5,1,1,RACE: White,1
You’ll never be able to have children if you have an abortion.,public.us-east-1.A2ATPVV665TR66,6,6,6,NONE,6
You’ll never be able to have children if you have an abortion.,public.us-east-1.A3AAJIOULPV12E,5,4,5,RACE: White,3
You’ll never be able to have children if you have an abortion.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
You’ll never be able to have children if you have an abortion.,public.us-east-1.A1K7FKUQ1EHVAZ,5,1,1,,1
You’ll never be able to have children if you have an abortion.,public.us-east-1.A1NN61ZAXV9FR0,4,6,6,RACE: White,5
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,public.us-east-1.A3AAJIOULPV12E,5,5,4,,4
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,public.us-east-1.A2BC5O377KEL6N,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,public.us-east-1.A2ATPVV665TR66,6,5,5,,6
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,public.us-east-1.A1NN61ZAXV9FR0,4,5,5,RACE: White,5
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,public.us-east-1.A28LVKN22K756,6,6,4,GENDER: Women,2
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,public.us-east-1.A1K7FKUQ1EHVAZ,1,1,5,RACE: White,3
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,public.us-east-1.A3U5FZX51JBFQW,3,4,6,RACE: White,5
"Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",public.us-east-1.A2BC5O377KEL6N,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",public.us-east-1.A15QVZHXJYWO31,6,5,1,GENDER: Women,3
"Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",public.us-east-1.A1K7FKUQ1EHVAZ,4,1,1,,1
"Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",public.us-east-1.A3AAJIOULPV12E,6,5,4,RACE: White,4
"Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",public.us-east-1.A1NN61ZAXV9FR0,3,5,5,RACE: White,4
"Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",public.us-east-1.A6MCR5VWBFWZT,5,5,5,GENDER: Men; RACE: White,5
"Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",public.us-east-1.A2ATPVV665TR66,6,6,6,NONE,6
"Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",public.us-east-1.A28LVKN22K756,6,6,6,,2
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A2BL85FF81CS3,5,1,1,,1
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A3AAJIOULPV12E,3,3,5,RACE: White,5
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A1JDPMVFB8HNMH,5,5,4,RACE: White,4
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A6MCR5VWBFWZT,5,5,5,GENDER: Men; RACE: White,5
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A1NN61ZAXV9FR0,3,6,5,RACE: White,5
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A1K7FKUQ1EHVAZ,1,1,1,RACE: White,1
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A19BG3DNCB8371,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A2ATPVV665TR66,6,6,6,NONE,6
