claim,worker,assessment_checkworthy,assessment_general_public,assessment_group_harm,assessment_group_harm_specify,assessment_truth
All diseases can be spread through radio waves.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A video of U.S. President Joe Biden from 2015 shows him promoting an agenda to make “white Americans” of European descent an “absolute minority” in the U.S. through “nonstop” immigration of people of color.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A17PYKQUQH830K,6,5,6,RACE: African American,5
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Las Vegas is located in the state of Nevada.,public.us-east-1.A28LVKN22K756,5,5,5,GENDER: Women,1
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,public.us-east-1.A17PYKQUQH830K,6,6,6,GENDER: Women,5
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A3QGZ31LEUFJV1,3,3,4,RACE: African American,5
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A28LVKN22K756,6,5,4,GENDER: Women,2
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
People require oxygen to survive.,public.us-east-1.A28LVKN22K756,5,5,6,GENDER: Women,1
People require oxygen to survive.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A3QGZ31LEUFJV1,3,2,4,NONE,4
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A17PYKQUQH830K,6,5,6,RACE: African American,5
A bicycle has two wheels.,public.us-east-1.A3QGZ31LEUFJV1,6,4,4,NONE,1
Water is a liquid at room temperature.,public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,2
Water is a liquid at room temperature.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A3QGZ31LEUFJV1,3,3,3,NONE,5
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A28LVKN22K756,5,5,5,GENDER: Women,2
A day contains 24 hours.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Illegal Immigrants Can Be Police Officers In California,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"Michele Flournoy, former United States defense undersecretary under the administration of former president Barack Obama, recently suggested sinking all Chinese military vessels within 72 hours to strengthen the US Army’s deterrence.",public.us-east-1.A3QGZ31LEUFJV1,3,3,5,NONE,4
"Michele Flournoy, former United States defense undersecretary under the administration of former president Barack Obama, recently suggested sinking all Chinese military vessels within 72 hours to strengthen the US Army’s deterrence.",public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Pro-golfer Phil Mickelson cheated by using non-regulation golf balls his whole career.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White,2
"""Eight of the top ten murder states, in terms of the increase in murder rates, are all red states.”",public.us-east-1.A3QGZ31LEUFJV1,4,4,3,NONE,3
"""Eight of the top ten murder states, in terms of the increase in murder rates, are all red states.”",public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A17PYKQUQH830K,2,1,1,NONE,2
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A3QGZ31LEUFJV1,5,5,4,NONE,3
Beef comes from cows.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Beef comes from cows.,public.us-east-1.A3QGZ31LEUFJV1,2,4,2,NONE,1
"In video testimony, U.S. Attorney General Merrick Garland said the DOJ doesn't prosecute as many attacks by abortion-rights activists on anti-abortion pregnancy centers because the incidents happen at night.",public.us-east-1.A3QGZ31LEUFJV1,6,4,3,NONE,2
"In video testimony, U.S. Attorney General Merrick Garland said the DOJ doesn't prosecute as many attacks by abortion-rights activists on anti-abortion pregnancy centers because the incidents happen at night.",public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"Las Vegas, NV has an average humidity level of around 50% throughout the year.",public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
The Great Wall of China was built entirely by one person,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
The Great Wall of China was built entirely by one person,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The character of James Bond has been portrayed by ten different actors over the course of the film franchise's 60-year history.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Ice melts when heated.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Apples are a type of fruit.,public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,2
Apples are a type of fruit.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Scientists have discovered a new planet that is entirely made of chocolate.,public.us-east-1.A3QGZ31LEUFJV1,3,2,4,NONE,4
"Ten percent of the U.S. population lives in the Ohio River Basin, within which the East Palestine train derailment and chemical release occurred.",public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Undocumented immigrants don't pay taxes,public.us-east-1.A1PZNXUXSW2MH0,5,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Undocumented immigrants don't pay taxes,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Reporters trying to get in are being arrested' after Ohio derailment,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
Biden said sending tanks to Ukraine would be the start of World War III,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A3QGZ31LEUFJV1,4,4,4,NONE,5
Paris is located in France.,public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,5
Paris is located in France.,public.us-east-1.A17PYKQUQH830K,1,1,1,NONE,1
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Wizards have illegally manipulated the weather to cause devastating storms.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Wizards have illegally manipulated the weather to cause devastating storms.,public.us-east-1.A17PYKQUQH830K,5,4,2,NONE,6
The moon orbits around the Earth.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
A week contains seven days.,public.us-east-1.A17PYKQUQH830K,1,1,1,NONE,1
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A17PYKQUQH830K,6,5,6,SEXUAL ORIENTATION: LGBTQ,5
Wizards have illegally manipulated the weather to cause devastating storms.,public.us-east-1.A3QGZ31LEUFJV1,5,4,5,NONE,3
Wizards have illegally manipulated the weather to cause devastating storms.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,public.us-east-1.A3QGZ31LEUFJV1,5,3,5,NONE,4
A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,public.us-east-1.A3QGZ31LEUFJV1,5,5,5,GENDER: Women,3
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.A3QGZ31LEUFJV1,5,1,5,NONE,4
Pro-golfer Phil Mickelson cheated by using non-regulation golf balls his whole career.,public.us-east-1.A3QGZ31LEUFJV1,5,4,3,NONE,3
Pro-golfer Phil Mickelson cheated by using non-regulation golf balls his whole career.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
A 'massive death plume' is raining down hydrochloric acid in Ohio,public.us-east-1.A3QGZ31LEUFJV1,3,5,4,NONE,2
The world's tallest tree forms a bridge from Earth to Mars.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A3QGZ31LEUFJV1,5,4,5,NONE,3
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
The character of James Bond has been portrayed by ten different actors over the course of the film franchise's 60-year history.,public.us-east-1.A3QGZ31LEUFJV1,3,4,4,NONE,5
The character of James Bond has been portrayed by ten different actors over the course of the film franchise's 60-year history.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
All diseases can be spread through radio waves.,public.us-east-1.AI91L9BSP6NBM,4,5,5,GENDER: Men; GENDER: Women; RACE: African American; SEXUAL ORIENTATION: Heterosexual,2
All diseases can be spread through radio waves.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A3QGZ31LEUFJV1,5,5,3,NONE,3
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",public.us-east-1.A3QGZ31LEUFJV1,4,5,3,NONE,3
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,public.us-east-1.A3QGZ31LEUFJV1,5,6,5,GENDER: Women,3
"“No administration has ever looked less like America, just by the numbers, than the Biden administration.”",public.us-east-1.A3QGZ31LEUFJV1,4,5,3,NONE,2
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A3QGZ31LEUFJV1,4,5,2,NONE,3
"Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
Water is a liquid at room temperature.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
"Michele Flournoy, former United States defense undersecretary under the administration of former president Barack Obama, recently suggested sinking all Chinese military vessels within 72 hours to strengthen the US Army’s deterrence.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
"""Eight of the top ten murder states, in terms of the increase in murder rates, are all red states.”",public.us-east-1.A3QGZ31LEUFJV1,3,4,4,GENDER: Men,5
Illegal Immigrants Can Be Police Officers In California,public.us-east-1.A3QGZ31LEUFJV1,4,5,4,NONE,3
Reporters trying to get in are being arrested' after Ohio derailment,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A3QGZ31LEUFJV1,4,3,5,NONE,5
A day contains 24 hours.,public.us-east-1.A3QGZ31LEUFJV1,6,6,1,NONE,1
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A3QGZ31LEUFJV1,5,5,3,RACE: African American,3
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A12KQGDA5YYCW7,5,6,5,,6
Undocumented immigrants don't pay taxes,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A3QGZ31LEUFJV1,4,5,3,NONE,3
People require oxygen to survive.,public.us-east-1.A3QGZ31LEUFJV1,6,6,1,NONE,1
People require oxygen to survive.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
The moon orbits around the Earth.,public.us-east-1.A3QGZ31LEUFJV1,5,5,3,NONE,3
A bicycle has two wheels.,public.us-east-1.A3QGZ31LEUFJV1,6,6,1,NONE,1
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A3QGZ31LEUFJV1,3,4,5,NONE,5
Joe Biden has four eyes on the top of his head.,public.us-east-1.A3QGZ31LEUFJV1,1,1,1,NONE,6
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A3QGZ31LEUFJV1,5,4,3,SEXUAL ORIENTATION: LGBTQ,2
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
Qatar 'refused to receive' German soccer team's plane due to LGBTQ symbol,public.us-east-1.A3QGZ31LEUFJV1,5,5,3,SEXUAL ORIENTATION: LGBTQ,3
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",public.us-east-1.A3QGZ31LEUFJV1,5,5,4,NONE,3
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",public.us-east-1.AI91L9BSP6NBM,5,5,5,GENDER: Men; GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A3QGZ31LEUFJV1,1,1,1,NONE,6
